relation_type	related_work	related_person	start_date	end_date
1049	http://schnitzler-werkimport/work_5429	pmb13068		
1049	http://schnitzler-werkimport/work_5431	pmb13068		
1049	http://schnitzler-werkimport/work_5433	pmb13068		
1049	http://schnitzler-werkimport/work_5439	pmb13068		
1049	http://schnitzler-werkimport/work_5428	pmb13068		
1049	http://schnitzler-werkimport/work_5438	pmb13068		
1049	http://schnitzler-werkimport/work_5430	pmb13068		
1049	http://schnitzler-werkimport/work_5434	pmb13068		
1049	http://schnitzler-werkimport/work_5435	pmb13068		
1049	http://schnitzler-werkimport/work_5437	pmb13068		
1049	http://schnitzler-werkimport/work_1362	pmb10815		
1049	http://schnitzler-werkimport/work_3137	pmb11740		
1049	http://schnitzler-werkimport/work_3138	pmb11740		
1049	http://schnitzler-werkimport/work_3140	pmb11740		
1049	http://schnitzler-werkimport/work_3146	pmb11740		
1049	http://schnitzler-werkimport/work_3148	pmb11740		
1049	http://schnitzler-werkimport/work_3154	pmb11740		
1049	http://schnitzler-werkimport/work_3180	pmb11740		
1049	http://schnitzler-werkimport/work_3181	pmb11740		
1049	http://schnitzler-werkimport/work_3182	pmb11740		
1049	http://schnitzler-werkimport/work_3143	pmb11740		
1049	http://schnitzler-werkimport/work_3145	pmb11740		
1049	http://schnitzler-werkimport/work_3161	pmb11740		
1049	http://schnitzler-werkimport/work_3158	pmb11740		
1049	http://schnitzler-werkimport/work_3150	pmb11740		
1049	http://schnitzler-werkimport/work_3153	pmb11740		
1049	http://schnitzler-werkimport/work_3159	pmb11740		
1049	http://schnitzler-werkimport/work_3160	pmb11740		
1049	http://schnitzler-werkimport/work_3163	pmb11740		
1049	http://schnitzler-werkimport/work_3164	pmb11740		
1049	http://schnitzler-werkimport/work_3164	pmb11916		
1049	http://schnitzler-werkimport/work_3166	pmb11740		
1049	http://schnitzler-werkimport/work_3167	pmb11740		
1049	http://schnitzler-werkimport/work_3168	pmb11740		
1049	http://schnitzler-werkimport/work_3169	pmb11740		
1049	http://schnitzler-werkimport/work_3171	pmb11740		
1049	http://schnitzler-werkimport/work_3174	pmb11740		
1049	http://schnitzler-werkimport/work_3177	pmb11740		
1049	http://schnitzler-werkimport/work_3178	pmb11740		
1049	http://schnitzler-werkimport/work_3066	pmb11673		
1049	http://schnitzler-werkimport/work_3069	pmb11673		
1049	http://schnitzler-werkimport/work_3075	pmb11673		
1049	http://schnitzler-werkimport/work_3075	pmb21697		
1049	http://schnitzler-werkimport/work_3074	pmb11673		
1049	http://schnitzler-werkimport/work_3077	pmb11673		
1049	http://schnitzler-werkimport/work_3077	pmb2739		
1049	http://schnitzler-werkimport/work_4551	pmb2167		
1049	http://schnitzler-werkimport/work_4552	pmb2167		
1049	http://schnitzler-werkimport/work_4555	pmb2167		
1049	http://schnitzler-werkimport/work_4556	pmb2167		
1049	http://schnitzler-werkimport/work_4580	pmb2167		
1049	http://schnitzler-werkimport/work_4564	pmb2167		
1049	http://schnitzler-werkimport/work_4569	pmb2167		
1049	http://schnitzler-werkimport/work_4581	pmb2167		
1049	http://schnitzler-werkimport/work_4558	pmb2167		
1049	http://schnitzler-werkimport/work_4559	pmb2167		
1049	http://schnitzler-werkimport/work_4585	pmb2167		
1049	http://schnitzler-werkimport/work_4579	pmb2167		
1049	http://schnitzler-werkimport/work_4562	pmb2167		
1049	http://schnitzler-werkimport/work_4561	pmb2167		
1049	http://schnitzler-werkimport/work_4563	pmb2167		
1049	http://schnitzler-werkimport/work_4565	pmb2167		
1049	http://schnitzler-werkimport/work_4566	pmb2167		
1049	http://schnitzler-werkimport/work_4570	pmb2167		
1049	http://schnitzler-werkimport/work_4572	pmb2167		
1049	http://schnitzler-werkimport/work_4573	pmb2167		
1049	http://schnitzler-werkimport/work_4575	pmb2167		
1049	http://schnitzler-werkimport/work_4576	pmb2167		
1049	http://schnitzler-werkimport/work_4578	pmb2167		
1049	http://schnitzler-werkimport/work_4583	pmb2167		
1049	http://schnitzler-werkimport/work_4584	pmb2167		
1049	http://schnitzler-werkimport/work_4586	pmb2167		
1049	http://schnitzler-werkimport/work_2098	pmb2207		
1049	http://schnitzler-werkimport/work_2097	pmb2207		
1049	http://schnitzler-werkimport/work_2097	pmb3354		
1049	http://schnitzler-werkimport/D7_n1_w3	pmb2147		
1049	http://schnitzler-werkimport/work_35764	pmb2121		
1049	http://schnitzler-werkimport/work_36095	pmb2121		
1049	http://schnitzler-werkimport/work_35767	pmb2121		
1049	http://schnitzler-werkimport/work_1446	pmb2150		
1049	http://schnitzler-werkimport/work_1446	pmb22247		
1049	http://schnitzler-werkimport/work_5292	pmb26411		
1049	http://schnitzler-werkimport/work_5289	pmb13001		
1049	http://schnitzler-werkimport/work_5289	pmb26411		
1049	http://schnitzler-werkimport/work_5294	pmb26411		
1049	http://schnitzler-werkimport/work_3714	pmb2570		
1049	http://schnitzler-werkimport/work_3714	pmb23440		
1049	http://schnitzler-werkimport/work_3714	pmb13136		
1049	http://schnitzler-werkimport/work_5531	pmb13136		
1049	http://schnitzler-werkimport/D427_n1_w1	pmb12906		
1049	http://schnitzler-werkimport/D427_n1_w2	pmb12906		
1049	http://schnitzler-werkimport/work_2568	pmb11384		
1049	http://schnitzler-werkimport/D298_n1_w5	pmb12176		
1049	http://schnitzler-werkimport/D298_n1_w3	pmb12176		
1049	http://schnitzler-werkimport/D298_n1_w7	pmb12176		
1049	http://schnitzler-werkimport/work_3826	pmb12176		
1049	http://schnitzler-werkimport/work_3828	pmb12176		
1049	http://schnitzler-werkimport/work_3824	pmb12176		
1049	http://schnitzler-werkimport/work_3830	pmb12176		
1049	http://schnitzler-werkimport/D298_n1_w2	pmb12176		
1049	http://schnitzler-werkimport/work_3797	pmb12170		
1049	http://schnitzler-werkimport/work_3803	pmb12170		
1049	http://schnitzler-werkimport/work_3805	pmb12170		
1049	http://schnitzler-werkimport/work_3819	pmb12170		
1049	http://schnitzler-werkimport/work_3796	pmb12170		
1049	http://schnitzler-werkimport/work_3806	pmb12170		
1049	http://schnitzler-werkimport/work_3813	pmb12170		
1049	http://schnitzler-werkimport/work_3798	pmb12170		
1049	http://schnitzler-werkimport/work_3800	pmb12170		
1049	http://schnitzler-werkimport/work_3802	pmb12170		
1049	http://schnitzler-werkimport/work_3815	pmb12170		
1049	http://schnitzler-werkimport/work_3799	pmb12170		
1049	http://schnitzler-werkimport/work_3807	pmb12170		
1049	http://schnitzler-werkimport/work_3808	pmb12170		
1049	http://schnitzler-werkimport/work_3810	pmb12170		
1049	http://schnitzler-werkimport/work_3811	pmb12170		
1049	http://schnitzler-werkimport/work_3809	pmb12170		
1049	http://schnitzler-werkimport/work_3818	pmb12170		
1049	http://schnitzler-werkimport/work_5453	pmb13094		
1049	http://schnitzler-werkimport/work_5458	pmb13094		
1049	http://schnitzler-werkimport/work_5452	pmb13094		
1049	http://schnitzler-werkimport/work_5461	pmb13094		
1049	http://schnitzler-werkimport/work_5462	pmb13094		
1049	http://schnitzler-werkimport/D466_n1_w2	pmb13094		
1049	http://schnitzler-werkimport/work_5455	pmb13094		
1049	http://schnitzler-werkimport/work_5464	pmb13094		
1049	http://schnitzler-werkimport/work_5456	pmb13094		
1049	http://schnitzler-werkimport/work_5457	pmb13094		
1049	http://schnitzler-werkimport/work_5460	pmb13094		
1049	http://schnitzler-werkimport/work_5463	pmb13094		
1049	http://schnitzler-werkimport/work_5263	pmb12993		
1049	http://schnitzler-werkimport/work_5265	pmb12993		
1049	http://schnitzler-werkimport/work_5266	pmb12993		
