relation_type	uri	related_work	start_date	end_date
1884	http://schnitzler-werkimport/N44_n1_w4_t1	http://schnitzler-werkimport/N44_n1_w4_o1	1912	1912
1884	http://schnitzler-werkimport/N44_n1_w1_t1	http://schnitzler-werkimport/N44_n1_w1_o1	1900	1900
1884	http://schnitzler-werkimport/N44_n1_w2_t1	http://schnitzler-werkimport/N44_n1_w2_o1	1905	1905
1884	http://schnitzler-werkimport/F3_n1_w2_t1	http://schnitzler-werkimport/F3_n1_w2_o1	1873	1873
1884	http://schnitzler-werkimport/F3_n1_w3_t1	http://schnitzler-werkimport/F3_n1_w3_o1	1884	1884
1884	http://schnitzler-werkimport/F3_n1_w4_t1	http://schnitzler-werkimport/F3_n1_w4_o1	1841	1846
1884	http://schnitzler-werkimport/F3_n1_w24_t1	http://schnitzler-werkimport/F3_n1_w24_o1	1909	1909
1884	http://schnitzler-werkimport/F3_n1_w7_t1	http://schnitzler-werkimport/F3_n1_w7_o1	1886	1886
1884	http://schnitzler-werkimport/F3_n1_w6_t1	http://schnitzler-werkimport/F3_n1_w6_o1	1886	1886
1884	http://schnitzler-werkimport/F3_n1_w5_t1	http://schnitzler-werkimport/F3_n1_w5_o1	1927	1927
1884	http://schnitzler-werkimport/work_1254	http://schnitzler-werkimport/R1_n1_w1_o1		
1884	http://schnitzler-werkimport/D63_n1_w1_t1	http://schnitzler-werkimport/D63_n1_w1_o1	1877	1877
1884	http://schnitzler-werkimport/D63_n1_w2_t1	http://schnitzler-werkimport/D63_n1_w2_o1	1879	1879
1884	http://schnitzler-werkimport/GB51_n1_w1_t1	http://schnitzler-werkimport/GB51_n1_w1_o1	1904	1904
1884	http://schnitzler-werkimport/E2_n1_w1_t1	http://schnitzler-werkimport/E2_n1_w1_o1	1846	1846
1884	http://schnitzler-werkimport/E2_n1_w3_t1	http://schnitzler-werkimport/E2_n1_w3_o1	1841	1841
1884	http://schnitzler-werkimport/E2_n1_w6_t1	http://schnitzler-werkimport/E2_n1_w6_o1	1803	1803
1884	http://schnitzler-werkimport/E2_n1_w4_t1	http://schnitzler-werkimport/E2_n1_w4_o1	1824	1824
1884	http://schnitzler-werkimport/E2_n1_w7_t1	http://schnitzler-werkimport/E2_n1_w7_o1	1868	1868
1884	http://schnitzler-werkimport/R3_n1_w1_t1	http://schnitzler-werkimport/R3_n1_w1_o1	1918	1918
1884	http://schnitzler-werkimport/R30_n1_w8_t1	http://schnitzler-werkimport/R30_n1_w8_o1	1904	1904
1884	http://schnitzler-werkimport/R30_n1_w5_t1	http://schnitzler-werkimport/R30_n1_w5_o1	1902	1902
1884	http://schnitzler-werkimport/R30_n1_w7_t1	http://schnitzler-werkimport/R30_n1_w7_o1	1902	1902
1884	http://schnitzler-werkimport/R30_n1_w11_t1	http://schnitzler-werkimport/R30_n1_w11_o1	1897	1897
1884	http://schnitzler-werkimport/R30_n1_w1_t1	http://schnitzler-werkimport/R30_n1_w1_o1	1891	1891
1884	http://schnitzler-werkimport/R30_n1_w3_t1	http://schnitzler-werkimport/R30_n1_w3_o1	1901	1901
1884	http://schnitzler-werkimport/R30_n1_w6_t1	http://schnitzler-werkimport/R30_n1_w6_o1	1902	1902
1884	http://schnitzler-werkimport/R30_n1_w2_t1	http://schnitzler-werkimport/R30_n1_w2_o1	1898	1898
1884	http://schnitzler-werkimport/R30_n1_w10_t1	http://schnitzler-werkimport/R30_n1_w10_o1	1917	1917
1884	http://schnitzler-werkimport/F120_n1_w1_t1	http://schnitzler-werkimport/F120_n1_w1_o1	1851	1851
1884	http://schnitzler-werkimport/GB3_n1_w4_t1	http://schnitzler-werkimport/GB3_n1_w4_o1	1866	1866
1884	http://schnitzler-werkimport/GB3_n1_w7_t1	http://schnitzler-werkimport/GB3_n1_w7_o1	1889	1889
1884	http://schnitzler-werkimport/GB3_n1_w3_t1	http://schnitzler-werkimport/GB3_n1_w3_o1	1837	1838
1884	http://schnitzler-werkimport/GB3_n1_w6_t1	http://schnitzler-werkimport/GB3_n1_w6_o1	1848	1848
1884	http://schnitzler-werkimport/GB3_n1_w5_t1	http://schnitzler-werkimport/GB3_n1_w5_o1	1838	1840
1884	http://schnitzler-werkimport/GB3_n1_w1_t1	http://schnitzler-werkimport/GB3_n1_w1_o1	1839	1839
1884	http://schnitzler-werkimport/GB3_n1_w8_t1	http://schnitzler-werkimport/GB3_n1_w8_o1	1859	1860
1884	http://schnitzler-werkimport/R29_n1_w6_t1	http://schnitzler-werkimport/R29_n1_w6_o1	1885	1885
1884	http://schnitzler-werkimport/R29_n1_w4_t1	http://schnitzler-werkimport/R29_n1_w4_o1		
1884	http://schnitzler-werkimport/R29_n1_w1_t1	http://schnitzler-werkimport/R29_n1_w1_o1	1910	1910
1884	http://schnitzler-werkimport/work_5502	http://schnitzler-werkimport/GB50_n1_w1_o1		
1884	http://schnitzler-werkimport/GB50_n1_w2_t1	http://schnitzler-werkimport/GB50_n1_w2_o1	1903	1903
1884	http://schnitzler-werkimport/F182_n1_w4_t1	http://schnitzler-werkimport/F182_n1_w4_o1	1881	1881
1884	http://schnitzler-werkimport/F182_n1_w7_t1	http://schnitzler-werkimport/F182_n1_w7_o1	1882	1882
1884	http://schnitzler-werkimport/F182_n1_w19_t1	http://schnitzler-werkimport/F182_n1_w19_o1	1881	1881
1884	http://schnitzler-werkimport/F182_n1_w5_t1	http://schnitzler-werkimport/F182_n1_w5_o1	1892	1892
1884	http://schnitzler-werkimport/F182_n1_w1_t1	http://schnitzler-werkimport/F182_n1_w1_o1	1880	1880
1884	http://schnitzler-werkimport/F182_n1_w10_t1	http://schnitzler-werkimport/F182_n1_w10_o1	1885	1885
1884	http://schnitzler-werkimport/F182_n1_w6_t1	http://schnitzler-werkimport/F182_n1_w6_o1	1882	1882
1884	http://schnitzler-werkimport/F182_n1_w8_t1	http://schnitzler-werkimport/F182_n1_w8_o1	1888	1888
1884	http://schnitzler-werkimport/F182_n1_w11_t1	http://schnitzler-werkimport/F182_n1_w11_o1	1881	1881
1884	http://schnitzler-werkimport/F182_n1_w14_t1	http://schnitzler-werkimport/F182_n1_w14_o1	1901	1901
