uri	text
http://schnitzler-werkimport/D7_n1_w3	Was der Tag mir zuträgt. Fünfundfünfzig neue Studien. Berlin 1901.
http://schnitzler-werkimport/D427_n1_w1	High-life. München 1886.
http://schnitzler-werkimport/D427_n1_w2	Schriftsteller-Roman. Dresden 1888.
http://schnitzler-werkimport/work_2568	Der Kampf um die Vorherrschaft in Deutschland. Stuttgart 
http://schnitzler-werkimport/D298_n1_w5	Der kleine Herr Friedemann. Novellen. Berlin 1898.
http://schnitzler-werkimport/D298_n1_w3	Fiorenza. Berlin 1905.
http://schnitzler-werkimport/D298_n1_w7	Friedrich und die große Koalition. Berlin 1915.
http://schnitzler-werkimport/D298_n1_w2	Tristan. Sechs Novellen. Berlin 1903.
http://schnitzler-werkimport/work_3796	Die Armen. Roman. Leipzig 
http://schnitzler-werkimport/work_3800	Flöten und Dolche. Novellen. München 
http://schnitzler-werkimport/work_3811	Professor Unrat oder Das Ende eines Tyrannen. Roman. München 
http://schnitzler-werkimport/work_3809	Stürmische Morgen. Novellen. München, Berlin 
http://schnitzler-werkimport/D466_n1_w2	Gedichte. Berlin, Wien, Leipzig 1927.
http://schnitzler-werkimport/work_5456	Nicht der Mörder, der Ermordete ist schuldig. Eine Novelle. München 
http://schnitzler-werkimport/work_5266	Louis Ferdinand, Prinz von Preußen. Ein Drama. Berlin 
http://schnitzler-werkimport/work_5267	Offiziere. Ein Drama. Berlin 
http://schnitzler-werkimport/D445_n1_w4	Opfergang. Berlin 1919.
http://schnitzler-werkimport/work_5262	Vor der Entscheidung. Ein Gedicht. Berlin 
http://schnitzler-werkimport/D167_n1_w1	Thränen. Berlin 1898.
http://schnitzler-werkimport/D98_n1_w8	Aus Spätherbsttagen. Erzählungen. Berlin 1901.
http://schnitzler-werkimport/D98_n1_w7	Das Gemeindekind. Erzählung. Berlin 1887.
http://schnitzler-werkimport/D98_n1_w2	Dorf- und Schloßgeschichten. Berlin 1883.
http://schnitzler-werkimport/D98_n1_w5	Miterlebtes. Erzählungen. Berlin 1889.
http://schnitzler-werkimport/D98_n1_w3	Neue Dorf- und Schloßgeschichten. Berlin 1886.
http://schnitzler-werkimport/D98_n1_w1	Neue Erzählungen. Berlin 1881.
http://schnitzler-werkimport/D98_n1_w6	Unsühnbar. Erzählung. Berlin 1890.
http://schnitzler-werkimport/D98_n1_w4	Zwei Comtessen. Berlin 1885.
http://schnitzler-werkimport/D283_n1_w1	Alfred de Musset. Berlin 1877.
